AB型血	AB型血 🆎️
太难了	太难了 😵
太難了	太難了 😵
奇异果	奇异果 🥝
奇異果	奇異果 🥝
女儿节	女儿节 🎎
女兒節	女兒節 🎎
好可怕	好可怕 😨
好复杂	好复杂 🤔
好好笑	好好笑 😆
好学生	好学生 🤓
好學生	好學生 🤓
好无聊	好无聊 😴
好無聊	好無聊 😴
好複雜	好複雜 🤔
好难过	好难过 😩
好難過	好難過 😩
威士忌	威士忌 🥃
娥眉月	娥眉月 🌒
子弹头	子弹头 🚅
子彈頭	子彈頭 🚅
学士帽	学士帽 🎓
孵化器	孵化器 🐣
學士帽	學士帽 🎓
实验服	实验服 🥼
富士山	富士山 🗻
實驗服	實驗服 🥼
寫作業	寫作業 📝
寫字樓	寫字樓 🏢
对不对	对不对 😈
导盲杖	导盲杖 🦯
导盲犬	导盲犬 🦮
對不對	對不對 😈
導盲杖	導盲杖 🦯
導盲犬	導盲犬 🦮
小推車	小推車 🛒
小推车	小推车 🛒
小提琴	小提琴 🎻
小气鬼	小气鬼 🙁
小氣鬼	小氣鬼 🙁
小白兔	小白兔 🐇
小白鼠	小白鼠 🐁
小蛋糕	小蛋糕 🍰
小行星	小行星 💫
小轎車	小轎車 🚗
小轿车	小轿车 🚗
工字釘	工字釘 📌
工字钉	工字钉 📌
巧克力	巧克力 🍫
巨石像	巨石像 🗿
巴士站	巴士站 🚏
巴西茶	巴西茶 🧉
平底鞋	平底鞋 🥿
幸运草	幸运草 🍀
幸运饼	幸运饼 🥠
幸運草	幸運草 🍀
幸運餅	幸運餅 🥠
废纸箩	废纸箩 🚮
廁所泵	廁所泵 🪠
廢紙籮	廢紙籮 🚮
开玩笑	开玩笑 😜
录像机	录像机 📹
录影带	录影带 📼
录影机	录影机 📹
录音带	录音带 📼
微生物	微生物 🦠
心之舞	心之舞 💞
快递盒	快递盒 📦
快遞盒	快遞盒 📦
快餐盒	快餐盒 🥡
怎么样	怎么样 😏
怎麼樣	怎麼樣 😏
悄悄地	悄悄地 🤫
悠悠球	悠悠球 🪀
想不通	想不通 🤔
感恩節	感恩節 🦃
感恩节	感恩节 🦃
戴口罩	戴口罩 😷
手推車	手推車 🛒
手推车	手推车 🛒
手提包	手提包 👜
手电筒	手电筒 🔦
手電筒	手電筒 🔦
手風琴	手風琴 🪗
手风琴	手风琴 🪗
打哈欠	打哈欠 🥱
打喷嚏	打喷嚏 🤧
打噴嚏	打噴嚏 🤧
打扑克	打扑克 🃏
打撲克	打撲克 🃏
打板球	打板球 🏏
打水战	打水战 🔫
打水戰	打水戰 🔫
打游戏	打游戏 🎮
打疫苗	打疫苗 💉
打遊戲	打遊戲 🎮
扩音器	扩音器 📣
扬声器	扬声器 🔈
护士服	护士服 🥼
护目镜	护目镜 🥽
抱一抱	抱一抱 🤗
拍电影	拍电影 🎬
拍電影	拍電影 🎬
拖拉机	拖拉机 🚜
拖拉機	拖拉機 🚜
指南針	指南針 🧭
指南针	指南针 🧭
捂耳朵	捂耳朵 🙉
捕鼠器	捕鼠器 🪤
提款机	提款机 🏧
提款機	提款機 🏧
提示牌	提示牌 🪧
揚聲器	揚聲器 🔈
摄像机	摄像机 📹
摄影机	摄影机 📹
摩天輪	摩天輪 🎡
摩天轮	摩天轮 🎡
操你妈	操你妈 🤬
操你媽	操你媽 🤬
擴音器	擴音器 📣
攝像機	攝像機 📹
攝影機	攝影機 📹
收件匣	收件匣 📥
收件箱	收件箱 📥
收邮件	收邮件 📩
收郵件	收郵件 📩
收音机	收音机 📻
收音機	收音機 📻
救护车	救护车 🚑
救火車	救火車 🚒
救火车	救火车 🚒
救生圈	救生圈 🛟
救生服	救生服 🦺
救生衣	救生衣 🦺
救護車	救護車 🚑
文件夹	文件夹 📁
文件夾	文件夾 📁
文件档	文件档 📃
文件檔	文件檔 📃
斑鳩琴	斑鳩琴 🪕
斑鸠琴	斑鸠琴 🪕
斯諾克	斯諾克 🎱
斯诺克	斯诺克 🎱
新邮件	新邮件 📭
新郵件	新郵件 📭
无邮件	无邮件 📪
早上好	早上好 🙂
旱冰鞋	旱冰鞋 🛼
星星眼	星星眼 🤩
显微镜	显微镜 🔬
曲別針	曲別針 🧷
曲别针	曲别针 🧷
曳引机	曳引机 🚜
曳引機	曳引機 🚜
書呆子	書呆子 🤓
曼哈頓	曼哈頓 🗽
曼哈顿	曼哈顿 🗽
有邮件	有邮件 📫
有郵件	有郵件 📫
有錢人	有錢人 💰
有钱人	有钱人 💰
望远镜	望远镜 🔭
望遠鏡	望遠鏡 🔭
朱古力	朱古力 🍫
机器人	机器人 🤖
机器腿	机器腿 🦿
机器臂	机器臂 🦾
机械腿	机械腿 🦿
机械臂	机械臂 🦾
来邮件	来邮件 📨
板球棒	板球棒 🏏
架子鼔	架子鼔 🥁
树袋熊	树袋熊 🐨
桌游卡	桌游卡 🎴
桌遊卡	桌遊卡 🎴
档案夹	档案夹 📁
梅花鹿	梅花鹿 🦌
棍網球	棍網球 🥍
棍网球	棍网球 🥍
棒棒糖	棒棒糖 🍭
椰子树	椰子树 🌴
椰子樹	椰子樹 🌴
樹袋熊	樹袋熊 🐨
橄榄球	橄榄球 🏉
橄欖球	橄欖球 🏉
橘黃色	橘黃色 🟧
橘黄色	橘黄色 🟧
機器人	機器人 🤖
機器腿	機器腿 🦿
機器臂	機器臂 🦾
機械腿	機械腿 🦿
機械臂	機械臂 🦾
檔案夾	檔案夾 📁
歌舞厅	歌舞厅 🪩
歌舞廳	歌舞廳 🪩
武术服	武术服 🥋
武術服	武術服 🥋
死火山	死火山 🗻
比基尼	比基尼 👙
毛毛虫	毛毛虫 🐛
毛毛蟲	毛毛蟲 🐛
毛線團	毛線團 🧶
毛线团	毛线团 🧶
水族館	水族館 🐳
水族馆	水族馆 🐳
水晶球	水晶球 🔮
水蜜桃	水蜜桃 🍑
水龍頭	水龍頭 🚰
水龙头	水龙头 🚰
求求你	求求你 🥺
汉堡包	汉堡包 🍔
沐浴乳	沐浴乳 🧴
沐浴露	沐浴露 🧴
沒事的	沒事的 🤗
沒想好	沒想好 😕
沒眼看	沒眼看 🙈
沒聽看	沒聽看 🙉
沒興趣	沒興趣 😌
沒錢了	沒錢了 💸
沙滩伞	沙滩伞 ⛱
沙灘傘	沙灘傘 ⛱
没事的	没事的 🤗
没兴趣	没兴趣 😌
没听看	没听看 🙉
没想好	没想好 😕
没眼看	没眼看 🙈
没钱了	没钱了 💸
泰迪熊	泰迪熊 🧸
洗发露	洗发露 🧴
洗髮露	洗髮露 🧴
流口水	流口水 🤤
流星雨	流星雨 🌠
流鼻涕	流鼻涕 🤧
海滩伞	海滩伞 ⛱
海灘傘	海灘傘 ⛱
海綿擦	海綿擦 🧽
海绵擦	海绵擦 🧽
消防車	消防車 🚒
消防车	消防车 🚒
清真寺	清真寺 🕌
渡渡鳥	渡渡鳥 🦤
渡渡鸟	渡渡鸟 🦤
游乐场	游乐场 🛝
游戏机	游戏机 🎮
游戏牌	游戏牌 🎴
游泳圈	游泳圈 🛟
溜溜球	溜溜球 🪀
滅火器	滅火器 🧯
滑板車	滑板車 🛴
滑板车	滑板车 🛴
滑雪板	滑雪板 🎿
滑雪靴	滑雪靴 🎿
滚犊子	滚犊子 😛
滾犢子	滾犢子 😛
漢堡包	漢堡包 🍔
火烈鳥	火烈鳥 🦩
火烈鸟	火烈鸟 🦩
火車站	火車站 🚉
火車箱	火車箱 🚆
火车站	火车站 🚉
火车箱	火车箱 🚆
灭火器	灭火器 🧯
灰老鼠	灰老鼠 🐀
烂玩意	烂玩意 😒
烤地瓜	烤地瓜 🍠
烤紅薯	烤紅薯 🍠
烤红薯	烤红薯 🍠
烤薄餅	烤薄餅 🍕
烤薄饼	烤薄饼 🍕
烤雞腿	烤雞腿 🍖
烤鸡腿	烤鸡腿 🍖
热带鱼	热带鱼 🐠
無郵件	無郵件 📪
煎雞蛋	煎雞蛋 🍳
煎鸡蛋	煎鸡蛋 🍳
照相机	照相机 📷
照相機	照相機 📷
熱帶魚	熱帶魚 🐠
爆米花	爆米花 🍿
爛玩意	爛玩意 😒
爲甚麼	爲甚麼 🤔
牛仔裤	牛仔裤 👖
牛仔褲	牛仔褲 👖
牛油果	牛油果 🥑
狗日的	狗日的 🤬
狗杂种	狗杂种 🤬
狗雜種	狗雜種 🤬
独木舟	独木舟 🛶
独角兽	独角兽 🦄
狮子头	狮子头 🦁
猕猴桃	猕猴桃 🥝
猛玛象	猛玛象 🦣
猛瑪象	猛瑪象 🦣
猪头三	猪头三 🐷
猪鼻子	猪鼻子 🐽
猫头鹰	猫头鹰 🦉
獅子頭	獅子頭 🦁
獨木舟	獨木舟 🛶
獨角獸	獨角獸 🦄
獼猴桃	獼猴桃 🥝
玉蜀黍	玉蜀黍 🌽
玛黛茶	玛黛茶 🧉
玩具枪	玩具枪 🔫
玩具槍	玩具槍 🔫
玩具熊	玩具熊 🧸
玩游戏	玩游戏 🎮
玩遊戲	玩遊戲 🎮
玻璃罐	玻璃罐 🫙
玻璃鏡	玻璃鏡 🪞
玻璃镜	玻璃镜 🪞
珊瑚礁	珊瑚礁 🪸
班卓琴	班卓琴 🪕
理发店	理发店 💈
理髮店	理髮店 💈
瑪黛茶	瑪黛茶 🧉
甜甜圈	甜甜圈 🍩
电影院	电影院 🎥
电摩托	电摩托 🛵
电灯泡	电灯泡 💡
电脑包	电脑包 💼
电视塔	电视塔 🗼
电视机	电视机 📺
电话亭	电话亭 ➿
电话筒	电话筒 📞
电话线	电话线 ➿
番茄酱	番茄酱 🥫
番茄醬	番茄醬 🥫
病原体	病原体 🦠
病原體	病原體 🦠
登山靴	登山靴 🥾
發件匣	發件匣 📤
發件箱	發件箱 📤
白大褂	白大褂 🥼
皮納塔	皮納塔 🪅
皮纳塔	皮纳塔 🪅
直升机	直升机 🚁
直升機	直升機 🚁
直昇機	直昇機 🚁
直飲水	直飲水 🚰
直饮水	直饮水 🚰
省省吧	省省吧 🙄
真好玩	真好玩 😆
睡睰睰	睡睰睰 💤
知道了	知道了 😐
破玩意	破玩意 😒
磁悬浮	磁悬浮 🚄
磁懸浮	磁懸浮 🚄
礼品盒	礼品盒 🎁
禮品盒	禮品盒 🎁
空手道	空手道 🥋
空气差	空气差 😷
空氣差	空氣差 😷
空电池	空电池 🪫
空電池	空電池 🪫
笑一个	笑一个 😬
笑一個	笑一個 😬
第一卷	第一卷 📕
第一名	第一名 🥇
第三卷	第三卷 📘
第三名	第三名 🥉
第二卷	第二卷 📗
第二名	第二名 🥈
第四卷	第四卷 📙
签语饼	签语饼 🥠
簽語餅	簽語餅 🥠
糖葫芦	糖葫芦 🍡
糖葫蘆	糖葫蘆 🍡
紅猩猩	紅猩猩 🦧
紅玫瑰	紅玫瑰 🌹
紅蘋果	紅蘋果 🍎
紅蘿蔔	紅蘿蔔 🥕
索引卡	索引卡 📇
縫衣針	縫衣針 🪡
红猩猩	红猩猩 🦧
红玫瑰	红玫瑰 🌹
红苹果	红苹果 🍎
红萝卜	红萝卜 🥕
缝衣针	缝衣针 🪡
羊皮紙	羊皮紙 📜
羊皮纸	羊皮纸 📜
羽毛球	羽毛球 🏸
老游戏	老游戏 👾
老火車	老火車 🚂
老火车	老火车 🚂
老花鏡	老花鏡 👓
老花镜	老花镜 👓
老虎机	老虎机 🎰
老虎機	老虎機 🎰
老遊戲	老遊戲 👾
聖誕樹	聖誕樹 🎄
聽不懂	聽不懂 😵
聽唔到	聽唔到 🙉
聽診器	聽診器 🩺
聽音樂	聽音樂 🎧
胡萝卜	胡萝卜 🥕
胡蘿蔔	胡蘿蔔 🥕
自來水	自來水 🚰
自来水	自来水 🚰
自行車	自行車 🚲
自行车	自行车 🚲
芭蕾舞	芭蕾舞 🩰
芭蕾鞋	芭蕾鞋 🩰
花园房	花园房 🏡
花園房	花園房 🏡
花椰菜	花椰菜 🥦
茅草屋	茅草屋 🛖
茅草房	茅草房 🛖
荷包蛋	荷包蛋 🍳
菜青虫	菜青虫 🐛
菜青蟲	菜青蟲 🐛
華夫餅	華夫餅 🧇
萨克斯	萨克斯 🎷
萬聖節	萬聖節 🎃
葡萄酒	葡萄酒 🍷
蒙眼睛	蒙眼睛 🙈
蒸汽船	蒸汽船 🚢
蓝眼睛	蓝眼睛 🧿
蔬菜球	蔬菜球 🧆
蕃茄酱	蕃茄酱 🥫
蕃茄醬	蕃茄醬 🥫
薩克斯	薩克斯 🎷
藍眼睛	藍眼睛 🧿
蛇夫座	蛇夫座 ⛎
蛋奶冻	蛋奶冻 🍮
蛋奶凍	蛋奶凍 🍮
蝴蝶結	蝴蝶結 🎀
蝴蝶结	蝴蝶结 🎀
蝴蝶餅	蝴蝶餅 🥨
蝴蝶饼	蝴蝶饼 🥨
螺丝刀	螺丝刀 🪛
螺絲刀	螺絲刀 🪛
行李箱	行李箱 🧳
衛生紙	衛生紙 🧻
衛生間	衛生間 🚾
袋棍球	袋棍球 🥍
西紅柿	西紅柿 🍅
西红柿	西红柿 🍅
要哭了	要哭了 😩
觀賞魚	觀賞魚 🐠
观赏鱼	观赏鱼 🐠
計程車	計程車 🚕
說不出	說不出 🙊
調色板	調色板 🎨
調色盤	調色盤 🎨
講大話	講大話 🤥
識別卡	識別卡 📛
警示牌	警示牌 🪧
護士服	護士服 🥼
護目鏡	護目鏡 🥽
讀書人	讀書人 🤓
计程车	计程车 🚕
讲大话	讲大话 🤥
识别卡	识别卡 📛
说不出	说不出 🙊
读书人	读书人 🤓
调色板	调色板 🎨
调色盘	调色盘 🎨
豬頭三	豬頭三 🐷
豬鼻子	豬鼻子 🐽
貓頭鷹	貓頭鷹 🦉
貴賓犬	貴賓犬 🐩
貴賓狗	貴賓狗 🐩
賭博機	賭博機 🎰
購物車	購物車 🛒
购物车	购物车 🛒
贵宾犬	贵宾犬 🐩
贵宾狗	贵宾狗 🐩
赌博机	赌博机 🎰
跆拳道	跆拳道 🥋
踏板車	踏板車 🛴
踏板车	踏板车 🛴
身份證	身份證 🪪
身份证	身份证 🪪
身体乳	身体乳 🧴
身體乳	身體乳 🧴
車來了	車來了 🚘
車厘子	車厘子 🍒
軋路機	軋路機 🚜
軌道車	軌道車 🚝
车厘子	车厘子 🍒
车来了	车来了 🚘
轧路机	轧路机 🚜
轨道车	轨道车 🚝
辦公樓	辦公樓 🏢
达玛尔	达玛尔 🫔
过山车	过山车 🎢
运动㡌	运动㡌 🧢
运动鞋	运动鞋 👟
连体衣	连体衣 🩱
连衣裙	连衣裙 👗
迴力鏢	迴力鏢 🪃
迴旋鏢	迴旋鏢 🪃
逗你玩	逗你玩 😜
通心粉	通心粉 🍝
連衣裙	連衣裙 👗
連體衣	連體衣 🩱
遊戲機	遊戲機 🎮
遊戲牌	遊戲牌 🎴
遊樂場	遊樂場 🛝
運動㡌	運動㡌 🧢
運動鞋	運動鞋 👟
過山車	過山車 🎢
達瑪爾	達瑪爾 🫔
邮便所	邮便所 🏣
邮政局	邮政局 🏤
邱比特	邱比特 💘
郁金香	郁金香 🌷
郵便所	郵便所 🏣
郵政局	郵政局 🏤
金龜子	金龜子 🪲
金龟子	金龟子 🪲
銀行卡	銀行卡 💳
錄像機	錄像機 📹
錄影帶	錄影帶 📼
錄影機	錄影機 📹
錄音帶	錄音帶 📼
錢丟了	錢丟了 💸
錢飛了	錢飛了 💸
鐵道車	鐵道車 🚃
钱丢了	钱丢了 💸
钱飞了	钱飞了 💸
铁道车	铁道车 🚃
银行卡	银行卡 💳
長明燈	長明燈 🪔
長筒靴	長筒靴 👢
長貨車	長貨車 🚛
長頸鹿	長頸鹿 🦒
长明灯	长明灯 🪔
长筒靴	长筒靴 👢
长货车	长货车 🚛
长颈鹿	长颈鹿 🦒
閃光燈	閃光燈 📸
開玩笑	開玩笑 😜
關東煮	關東煮 🍢
闪光灯	闪光灯 📸
防护镜	防护镜 🥽
防護鏡	防護鏡 🥽
阴暗面	阴暗面 🌚
降落伞	降落伞 🪂
降落傘	降落傘 🪂
陰暗面	陰暗面 🌚
雙肩包	雙肩包 🎒
雞尾酒	雞尾酒 🍸
雞蛋餅	雞蛋餅 🌮
電影院	電影院 🎥
電摩托	電摩托 🛵
電燈泡	電燈泡 💡
電腦包	電腦包 💼
電視塔	電視塔 🗼
電視機	電視機 📺
電話亭	電話亭 ➿
電話筒	電話筒 📞
電話線	電話線 ➿
霜淇淋	霜淇淋 🍦
霸王龍	霸王龍 🦖
霸王龙	霸王龙 🦖
青苹果	青苹果 🍏
青蘋果	青蘋果 🍏
面包圈	面包圈 🥯
面包车	面包车 🚐
顯微鏡	顯微鏡 🔬
飲用水	飲用水 🚰
饮用水	饮用水 🚰
馬鈴薯	馬鈴薯 🥔
騙你的	騙你的 😜
马铃薯	马铃薯 🥔
骗你的	骗你的 😜
骷髅头	骷髅头 💀
骷髏頭	骷髏頭 💀
高脚杯	高脚杯 🍷
高腳杯	高腳杯 🍷
高跟鞋	高跟鞋 👠
高音量	高音量 🔊
鬱金香	鬱金香 🌷
魔术帽	魔术帽 🎩
魔術帽	魔術帽 🎩
鯉魚旗	鯉魚旗 🎏
鯨魚座	鯨魚座 🔯
鲤鱼旗	鲤鱼旗 🎏
鲸鱼座	鲸鱼座 🔯
鴨舌㡌	鴨舌㡌 🧢
鸡尾酒	鸡尾酒 🍸
鸡蛋饼	鸡蛋饼 🌮
鸭舌㡌	鸭舌㡌 🧢
麵包圈	麵包圈 🥯
麵包車	麵包車 🚐
黃包車	黃包車 🛺
黃鼠狼	黃鼠狼 🦡
黄包车	黄包车 🛺
黄鼠狼	黄鼠狼 🦡
三文治	三文治 🥙 🥪
三明治	三明治 🥙 🥪
上弦月	上弦月 🌓 🌛
下弦月	下弦月 🌗 🌜
不会吧	不会吧 😟 😦
不可能	不可能 😛 😟
不好玩	不好玩 😝 😴
不會吧	不會吧 😟 😦
不能說	不能說 🙊 🫢
不能说	不能说 🙊 🫢
不錯啊	不錯啊 😀 😺
不错啊	不错啊 😀 😺
中秋節	中秋節 🌕 🎑
中秋节	中秋节 🌕 🎑
交通灯	交通灯 🚥 🚦
交通燈	交通燈 🚥 🚦
亲一个	亲一个 😙 😽
你也是	你也是 😏 😼
信号灯	信号灯 🚥 🚦
信號燈	信號燈 🚥 🚦
別說了	別說了 🤐 🫢
别说了	别说了 🤐 🫢
喜欢你	喜欢你 😍 😻
喜歡你	喜歡你 😍 😻
好糾結	好糾結 😂 😹
好纠结	好纠结 😂 😹
小三角	小三角 🔺 🔻
小菱形	小菱形 🔸 🔹
怎么会	怎么会 😢 😿
怎麼會	怎麼會 😢 😿
我的天	我的天 😱 🙀
放大鏡	放大鏡 🔍 🔎
放大镜	放大镜 🔍 🔎
曲棍球	曲棍球 🏑 🏒
月弯弯	月弯弯 🌛 🌜
月彎彎	月彎彎 🌛 🌜
死定了	死定了 😠 😾
沒意思	沒意思 😞 😴
没意思	没意思 😞 😴
潛水鏡	潛水鏡 🤿 🥽
潜水镜	潜水镜 🤿 🥽
火車頭	火車頭 🚂 🚆
火车头	火车头 🚂 🚆
真的吗	真的吗 😓 😳
真的嗎	真的嗎 😓 😳
笔记簿	笔记簿 📓 📔
筆記簿	筆記簿 📓 📔
简直了	简直了 😱 🙀
簡直了	簡直了 😱 🙀
紅綠燈	紅綠燈 🚥 🚦
红绿灯	红绿灯 🚥 🚦
親一個	親一個 😙 😽
馬戲團	馬戲團 🎪 🤡
马戏团	马戏团 🎪 🤡
魔法棒	魔法棒 🎇 🪄
就那样	就那样 😌 😏 😼
就那樣	就那樣 😌 😏 😼
笔记本	笔记本 💻 📓 📔
筆記本	筆記本 💻 📓 📔
不是吧	不是吧 😢 😢 😥 😿 😿 🤨
不知道	不知道 😲 🤷🏻
无所谓	无所谓 😌 🤷🏻
晓不得	晓不得 😲 🤷🏻
曉不得	曉不得 😲 🤷🏻
無所謂	無所謂 😌 🤷🏻
認不得	認不得 😲 🤷🏻
认不得	认不得 😲 🤷🏻
看不懂	看不懂 😵 😵‍💫
跨性別	跨性別 ⚧ 🏳‍⚧️
跨性别	跨性别 ⚧ 🏳‍⚧️
一小撮	一小撮 🤌🏻
一点点	一点点 🤌🏻
一點點	一點點 🤌🏻
万那杜	万那杜 🇻🇺
三叶草	三叶草 ☘️
三葉草	三葉草 ☘️
上一首	上一首 ⏮️
下一首	下一首 ⏭️
下大雨	下大雨 ☔️
东帝汶	东帝汶 🇹🇱
东正教	东正教 ☦️
义大利	义大利 🇮🇹
乌克兰	乌克兰 🇺🇦
乌干达	乌干达 🇺🇬
乌拉圭	乌拉圭 🇺🇾
乔治亚	乔治亚 🇬🇪
五角星	五角星 ⭐️
亚森欣	亚森欣 🇸🇭
亞森欣	亞森欣 🇸🇭
以色列	以色列 🇮🇱
伊拉克	伊拉克 🇮🇶
伊斯兰	伊斯兰 ☪️
伊斯蘭	伊斯蘭 ☪️
伯利兹	伯利兹 🇧🇿
住宅区	住宅区 🏘️
住宅區	住宅區 🏘️
体温计	体温计 🌡️
体育场	体育场 🏟️
体育馆	体育馆 🏟️
佛得角	佛得角 🇨🇻
俄罗斯	俄罗斯 🇷🇺
俄羅斯	俄羅斯 🇷🇺
停車場	停車場 🅿️
停车场	停车场 🅿️
入场券	入场券 🎟️
入場券	入場券 🎟️
六芒星	六芒星 ✡️
冈比亚	冈比亚 🇬🇲
农民工	农民工 👷🏻
几内亚	几内亚 🇬🇳
列印机	列印机 🖨️
列印機	列印機 🖨️
刚果金	刚果金 🇨🇩
別在意	別在意 🙏🏻
別墅區	別墅區 🏘️
利比亚	利比亚 🇱🇾
利比亞	利比亞 🇱🇾
别在意	别在意 🙏🏻
别墅区	别墅区 🏘️
剛果金	剛果金 🇨🇩
剪头发	剪头发 💇🏻
剪頭髮	剪頭髮 💇🏻
加冕女	加冕女 🤴🏻
加冕男	加冕男 👸🏻
加拿大	加拿大 🇨🇦
加油站	加油站 ⛽️
助听器	助听器 🦻🏻
助聽器	助聽器 🦻🏻
匈牙利	匈牙利 🇭🇺
北朝鮮	北朝鮮 🇰🇵
北朝鲜	北朝鲜 🇰🇵
十字架	十字架 ✝️
十字鎬	十字鎬 ⛏️
十字镐	十字镐 ⛏️
南朝鮮	南朝鮮 🇰🇷
南朝鲜	南朝鲜 🇰🇷
南极洲	南极洲 🇦🇶
南極洲	南極洲 🇦🇶
南苏丹	南苏丹 🇸🇸
南蘇丹	南蘇丹 🇸🇸
博奈尔	博奈尔 🇧🇶
博奈爾	博奈爾 🇧🇶
卡塔尔	卡塔尔 🇶🇦
卡塔爾	卡塔爾 🇶🇦
卢安达	卢安达 🇷🇼
卢旺达	卢旺达 🇷🇼
卢森堡	卢森堡 🇱🇺
厄瓜多	厄瓜多 🇪🇨
原子弹	原子弹 ☢️
原子彈	原子彈 ☢️
原子笔	原子笔 🖊️
原子筆	原子筆 🖊️
原子能	原子能 ⚛️
原諒我	原諒我 🙏🏻
原谅我	原谅我 🙏🏻
双叹号	双叹号 ‼️
双子座	双子座 ♊️
双鱼座	双鱼座 ♓️
叙利亚	叙利亚 🇸🇾
可回收	可回收 ♻️
台式机	台式机 🖥️
史巴克	史巴克 🖖🏻
史波克	史波克 🖖🏻
右勾拳	右勾拳 🤛🏻
右手边	右手边 👉🏻
右手邊	右手邊 👉🏻
叹问号	叹问号 ⁉️
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
吐瓦魯	吐瓦魯 🇹🇻
吐瓦鲁	吐瓦鲁 🇹🇻
听不见	听不见 🧏🏻
吸血鬼	吸血鬼 🧛🏻
和平鴿	和平鴿 🕊️
和平鸽	和平鸽 🕊️
哈萨克	哈萨克 🇰🇿
哈薩克	哈薩克 🇰🇿
哥俩好	哥俩好 👬🏻
哥倆好	哥倆好 👬🏻
問嘆號	問嘆號 ⁉️
喀麥隆	喀麥隆 🇨🇲
喀麦隆	喀麦隆 🇨🇲
喬治亞	喬治亞 🇬🇪
嘆問號	嘆問號 ⁉️
图瓦卢	图瓦卢 🇹🇻
圆珠笔	圆珠笔 🖊️
圓珠筆	圓珠筆 🖊️
圖瓦盧	圖瓦盧 🇹🇻
土库曼	土库曼 🇹🇲
土庫曼	土庫曼 🇹🇲
土耳其	土耳其 🇹🇷
圣诞岛	圣诞岛 🇨🇽
圭亚那	圭亚那 🇬🇾
圭亞那	圭亞那 🇬🇾
垃圾筒	垃圾筒 🗑️
基督教	基督教 ✝️
堆雪人	堆雪人 ⛄️
塔吉克	塔吉克 🇹🇯
塗指甲	塗指甲 💅🏻
塞席尔	塞席尔 🇸🇨
塞席爾	塞席爾 🇸🇨
塞舌尔	塞舌尔 🇸🇨
塞舌爾	塞舌爾 🇸🇨
墨西哥	墨西哥 🇲🇽
壁炉钟	壁炉钟 🕰️
壁爐鐘	壁爐鐘 🕰️
处女座	处女座 ♍️
复选框	复选框 ☑️
外蒙古	外蒙古 🇲🇳
多选框	多选框 ☑️
多選框	多選框 ☑️
大肚子	大肚子 🫄🏻
大胡子	大胡子 🧔🏻
大鬍子	大鬍子 🧔🏻
大麻烦	大麻烦 🤦🏻
大麻煩	大麻煩 🤦🏻
天枰座	天枰座 ♎️
天秤座	天秤座 ♎️
天蝎座	天蝎座 ♏️
天蠍座	天蠍座 ♏️
太好了	太好了 🙆🏻
太感謝	太感謝 🙏🏻
太感谢	太感谢 🙏🏻
太阳伞	太阳伞 ☂️
太阳镜	太阳镜 🕶️
太陽傘	太陽傘 ☂️
太陽鏡	太陽鏡 🕶️
奥地利	奥地利 🇦🇹
奧地利	奧地利 🇦🇹
妊娠女	妊娠女 🤰🏻
妊娠男	妊娠男 🫃🏻
孟加拉	孟加拉 🇧🇩
安全帽	安全帽 ⛑️
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
对不起	对不起 🙏🏻
对话框	对话框 🗯️
射手座	射手座 ♐️
對不起	對不起 🙏🏻
對話框	對話框 🗯️
小白方	小白方 ▫️
小飛機	小飛機 🛩️
小飞机	小飞机 🛩️
小黑方	小黑方 ▪️
尚比亚	尚比亚 🇿🇲
尚比亞	尚比亞 🇿🇲
尼日尔	尼日尔 🇳🇪
尼日爾	尼日爾 🇳🇪
尼泊尔	尼泊尔 🇳🇵
尼泊爾	尼泊爾 🇳🇵
山地車	山地車 🚵🏻
山地车	山地车 🚵🏻
岡比亞	岡比亞 🇬🇲
工具盒	工具盒 🛠️
左勾拳	左勾拳 🤜🏻
左手边	左手边 👈🏻
左手邊	左手邊 👈🏻
巨蟹座	巨蟹座 ♋️
巴哈馬	巴哈馬 🇧🇸
巴哈马	巴哈马 🇧🇸
巴拉圭	巴拉圭 🇵🇾
巴拿馬	巴拿馬 🇵🇦
巴拿马	巴拿马 🇵🇦
巴貝多	巴貝多 🇧🇧
巴贝多	巴贝多 🇧🇧
布隆迪	布隆迪 🇧🇮
幾內亞	幾內亞 🇬🇳
库拉索	库拉索 🇨🇼
庫拉索	庫拉索 🇨🇼
建筑工	建筑工 👷🏻
建築工	建築工 👷🏻
建設中	建設中 🏗️
建设中	建设中 🏗️
德意志	德意志 🇩🇪
心叹号	心叹号 ❣️
心歎號	心歎號 ❣️
怀孕女	怀孕女 🤰🏻
怀孕男	怀孕男 🫃🏻
恋爱中	恋爱中 💑🏻
意大利	意大利 🇮🇹
愛爾蘭	愛爾蘭 🇮🇪
懷孕女	懷孕女 🤰🏻
懷孕男	懷孕男 🫃🏻
戀愛中	戀愛中 💑🏻
成年人	成年人 🧑🏻
我愛你	我愛你 🤟🏻
我爱你	我爱你 🤟🏻
所以呢	所以呢 🤷🏻
打印机	打印机 🖨️
打印機	打印機 🖨️
打响指	打响指 🤞🏻
打招呼	打招呼 🙋🏻
打死你	打死你 👊🏻
打篮球	打篮球 ⛹🏻
打籃球	打籃球 ⛹🏻
打給我	打給我 🤙🏻
打给我	打给我 🤙🏻
